importance_rank,osm_node_id,latitude,longitude,street_names,demand_level,total_demand_rate,design,design_name,completion_rate,avg_waiting_time_s,avg_queue_length,throughput_veh_s,traffic_efficiency
28,5941658256,13.8956484,100.7134093,ถนนไทยรามัญ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,14.440944881889763,3.0566666666666666,0.21166666666666667,0.6944500412047381
29,5941663059,13.8953657,100.7106823,ถนนไทยรามัญ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,15.91304347826087,3.05,0.19166666666666668,0.68163821472645
30,4688947276,13.8947865,100.7075883,ถนนไทยรามัญ,high,2.0,four_way,Existing Signalized Four-Way,0.1389776357827476,12.504273504273504,2.4383333333333335,0.195,0.7300491791872825
1,350390643,13.841924,100.7131838,ถนนสุเหร่าคลองหนึ่ง; ถนนเจริญพัฒนา,low,0.5,roundabout,Roundabout,0.13993174061433447,0.037037037037037035,0.0016666666666666668,0.045,0.9991768566505488
2,5877834594,13.8601908,100.7403845,ซอยวัดสุขใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.016666666666666666,1.0
3,2722951931,13.8941035,100.7034483,ซอยหนองระแหง 5; ถนนไทยรามัญ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.06060606060606061,0.0033333333333333335,0.055,0.9986237253294998
4,3053324433,13.8860863,100.7221994,ถนนหทัยราษฎร์,low,0.5,roundabout,Roundabout,0.13993174061433447,0.1282051282051282,0.008333333333333333,0.065,0.9970305754201076
5,2739129171,13.8694104,100.7749543,วัดสุขใจ 36,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.021666666666666667,1.0
6,3834754707,13.8597869,100.7350807,ซอย วัดสุขใจ; ซอยวัดสุขใจ; วัดสุขใจ 1; วัดสุขใจ 4,low,0.5,roundabout,Roundabout,0.13993174061433447,0.041666666666666664,0.0016666666666666668,0.04,0.999084506492955
7,3017429961,13.8311443,100.7610659,ถนนประชาร่วมใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.08108108108108109,0.005,0.06166666666666667,0.9981329054785503
8,3841546184,13.8414941,100.7029031,ถนนสุเหร่าคลองหนึ่ง; สุเหร่าคลองหนึ่ง 5; สุเหร่าคลองหนึ่ง ซอย 5,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.025,1.0
9,2722951940,13.9061458,100.6996359,ซอยหนองระแหง 5; ถนนหนองระแหง,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.005,1.0
10,3010327836,13.8353969,100.7675243,ซอยประชาร่วมใจ 33; ซอยประชาร่วมใจ 44; ถนนประชาร่วมใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.03225806451612903,0.0016666666666666668,0.051666666666666666,0.9992722157105205
11,5817136062,13.8393703,100.773706,ถนนประชาร่วมใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.043478260869565216,0.0016666666666666668,0.03833333333333333,0.999048377222425
12,5935920708,13.8958999,100.7151813,ถนนไทยรามัญ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.023255813953488372,0.0016666666666666668,0.07166666666666667,0.9994519280210632
13,3010521944,13.8416099,100.7790452,ซอยประชาร่วมใจ 45; ซอยประชาร่วมใจ 60; ถนนประชาร่วมใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.021666666666666667,1.0
14,5870258361,13.8479329,100.7273239,ถนนสามวา,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.01,1.0
15,5933246533,13.9119598,100.7070246,ถนนหนองระแหง,low,0.5,roundabout,Roundabout,0.13993174061433447,0.5714285714285714,0.006666666666666667,0.011666666666666667,0.9884519909421278
16,5933392468,13.9087958,100.6955807,ซอยหนองระแหง 4,low,0.5,roundabout,Roundabout,0.13993174061433447,0.1,0.0033333333333333335,0.03333333333333333,0.9978400472671269
17,8236662649,13.8768935,100.7817271,ถนนแบนชะโด,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.008333333333333333,1.0
18,3673190579,13.8953156,100.6961963,ซอยไทยรามัญ; ถนนไทยรามัญ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.015,1.0
19,8392620342,13.8729128,100.6894381,ถนนพระยาสุเรนทร์,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.011666666666666667,1.0
20,3012564666,13.8466951,100.7908739,ซอยประชาร่วมใจ 63; ถนนประชาร่วมใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.01,1.0
21,3843843349,13.824774,100.7511067,ถนนประชาร่วมใจ,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.015,1.0
22,3845068387,13.824209,100.7125358,ซอยเจริญพัฒนา 5; ถนนเจริญพัฒนา,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.015,1.0
23,5936141680,13.9033267,100.6912209,ซอยหนองระแหง 4,low,0.5,roundabout,Roundabout,0.13993174061433447,0.0,0.0,0.011666666666666667,1.0
